17;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47;50;50;50;50;50;50;50;50;50;50;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50
18;47;47;47;47;47;47;47;47;47;48;48;48;48;48;48;48;48;48;48;51;51;51;51;51;51;51;51;51;51;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50
19;47;47;47;47;47;47;47;47;47;49;49;49;49;49;49;49;49;49;49;52;52;52;52;52;52;52;52;52;52;49;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50;51;51;51;51;51;51;51;51;51;51
20;48;48;48;48;48;48;48;48;48;49;49;49;49;49;49;49;49;49;49;52;52;52;52;52;52;52;52;52;52;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;51;51;51;51;51;51;51;51;51;51
21;48;48;48;48;48;48;48;48;48;50;50;50;50;50;50;50;50;50;50;53;53;53;53;53;53;53;53;53;53;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;52;52;52;52;52;52;52;52;52;52
22;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50;53;53;53;53;53;53;53;53;53;53;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;52;52;52;52;52;52;52;52;52;52
23;49;49;49;49;49;49;49;49;49;51;51;51;51;51;51;51;51;51;51;54;54;54;54;54;54;54;54;54;54;51;51;51;51;51;51;51;51;51;51;52;52;52;52;52;52;52;52;52;52;53;53;53;53;53;53;53;53;53;53
24;49;49;49;49;49;49;49;49;49;52;52;52;52;52;52;52;52;52;52;54;54;54;54;54;54;54;54;54;54;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;54;54;54;54;54;54;54;54;54;54
25;49;49;49;49;49;49;49;49;49;52;52;52;52;52;52;52;52;52;52;55;55;55;55;55;55;55;55;55;55;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;54;54;54;54;54
26;50;50;50;50;50;50;50;50;50;53;53;53;53;53;53;53;53;53;53;55;55;55;55;55;55;55;55;55;55;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;55;55;55;55;55;55;55;55;55;55
27;50;50;50;50;50;50;50;50;50;54;54;54;54;54;54;54;54;54;54;56;56;56;56;56;56;56;56;56;56;54;54;54;54;54;54;54;54;54;54;53;53;53;53;53;53;53;53;53;53;55;55;55;55;55;55;55;55;55;55
28;51;51;51;51;51;51;51;51;51;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;56;56;56;56;56;56;56;56;56;56
29;52;52;52;52;52;52;52;52;52;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56
30;52;52;52;52;52;52;52;52;52;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56
31;53;53;53;53;53;53;53;53;53;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;56;56;56;56;56;56;56;56;56;56;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56
32;53;53;53;53;53;53;53;53;53;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56
33;54;54;54;54;54;54;54;54;54;57;57;57;57;57;57;57;57;57;57;58;58;58;58;58;58;58;58;58;58;57;57;57;57;57;57;57;57;57;57;56;56;56;56;56;56;56;56;56;56;57;57;57;57;57;57;57;57;57;57
34;55;55;55;55;55;55;55;55;55;57;57;57;57;57;57;57;57;57;57;58;58;58;58;58;58;58;58;58;58;57;57;57;57;57;57;57;57;57;57;56;56;56;56;56;56;56;56;56;56;57;57;57;57;57;57;57;57;57;57
